
Country,     diet,       drinking ,   gender,     language,    religion,     smoking
116807, 1: 0.755605, 2: 0.532767, 0: 0.047045, 1: 0.000000, 2: 0.679296, 1: 0.383502
543042, 0: 0.529700, 3: 0.007698, 0: 0.066842, 0: 0.000000, 0: 0.686773, 0: 0.930436
493099, 0: 0.415999, 3: 0.910321, 0: 0.262453, 1: 0.000000, 1: 0.736082, 0: 0.632639
758821, 1: 0.982550, 1: 0.753356, 1: 0.072686, 0: 0.000000, 2: 0.884707, 0: 0.436411
416708, 1: 0.359265, 2: 0.486517, 0: 0.909208, 1: 0.000000, 1: 0.904653, 1: 0.516292
706853, 0: 0.090733, 0: 0.073749, 0: 0.384142, 0: 0.000000, 1: 0.913817, 0: 0.464446
139425, 2: 0.827817, 2: 0.015868, 1: 0.868247, 1: 0.000000, 2: 0.736225, 2: 0.999458
921123, 2: 0.513274, 0: 0.845982, 0: 0.841511, 0: 0.000000, 2: 0.415395, 0: 0.467917
811137, 2: 0.802406, 1: 0.534450, 0: 0.955361, 1: 0.000000, 2: 0.554584, 0: 0.624849
680399, 2: 0.130427, 0: 0.274588, 0: 0.414293, 0: 0.000000, 1: 0.709820, 2: 0.239911
